ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2017,2017,51103,1054,"St. Clair County, IL",05000US17163,st.-clair-county-il
2017,2017,59046,490,"St. Louis, MO-IL",31000US41180,st.-louis-mo-il-metro-area
2017,2017,57652,138,United States,01000US,united-states
2017,2017,56536,1150,"Madison County, IL",05000US17119,madison-county-il
2017,2017,74410,4039,"Monroe County, IL",05000US17133,monroe-county-il
2017,2017,51542,215,Missouri,04000US29,missouri
2017,2017,38664,799,"St. Louis city, MO",05000US29510,st.-louis-city-mo
2017,2017,62931,854,"St. Louis County, MO",05000US29189,st.-louis-county-mo
2017,2017,78380,1216,"St. Charles County, MO",05000US29183,st.-charles-county-mo
2017,2017,60765,969,"Jefferson County, MO",05000US29099,jefferson-county-mo
2017,2017,53849,1753,"Franklin County, MO",05000US29071,franklin-county-mo
2016,2016,75603,1058,"St. Charles County, MO",05000US29183,st.-charles-county-mo
2016,2016,55322,120,United States,01000US,united-states
2016,2016,56726,383,"St. Louis, MO-IL",31000US41180,st.-louis-mo-il-metro-area
2016,2016,36809,645,"St. Louis city, MO",05000US29510,st.-louis-city-mo
2016,2016,61103,590,"St. Louis County, MO",05000US29189,st.-louis-county-mo
2016,2016,49593,259,Missouri,04000US29,missouri
2016,2016,58232,1245,"Jefferson County, MO",05000US29099,jefferson-county-mo
2016,2016,50895,1755,"Franklin County, MO",05000US29071,franklin-county-mo
2016,2016,50006,1258,"St. Clair County, IL",05000US17163,st.-clair-county-il
2016,2016,72956,3912,"Monroe County, IL",05000US17133,monroe-county-il
2016,2016,54573,967,"Madison County, IL",05000US17119,madison-county-il
2015,2015,55066,407,"St. Louis, MO-IL",31000US41180,st.-louis-mo-il-metro-area
2015,2015,48173,250,Missouri,04000US29,missouri
2015,2015,53889,110,United States,01000US,united-states
2015,2015,70859,3407,"Monroe County, IL",05000US17133,monroe-county-il
2015,2015,53431,1065,"Madison County, IL",05000US17119,madison-county-il
2015,2015,35599,758,"St. Louis city, MO",05000US29510,st.-louis-city-mo
2015,2015,49895,1296,"St. Clair County, IL",05000US17163,st.-clair-county-il
2015,2015,48480,1890,"Franklin County, MO",05000US29071,franklin-county-mo
2015,2015,55348,1230,"Jefferson County, MO",05000US29099,jefferson-county-mo
2015,2015,72415,1141,"St. Charles County, MO",05000US29183,st.-charles-county-mo
2015,2015,59755,723,"St. Louis County, MO",05000US29189,st.-louis-county-mo
2014,2014,50728,924,"St. Clair County, IL",05000US17163,st.-clair-county-il
2014,2014,53482,95,United States,01000US,united-states
2014,2014,72100,1141,"St. Charles County, MO",05000US29183,st.-charles-county-mo
2014,2014,55563,1377,"Jefferson County, MO",05000US29099,jefferson-county-mo
2014,2014,48661,2022,"Franklin County, MO",05000US29071,franklin-county-mo
2014,2014,59520,708,"St. Louis County, MO",05000US29189,st.-louis-county-mo
2014,2014,69592,3443,"Monroe County, IL",05000US17133,monroe-county-il
2014,2014,53912,953,"Madison County, IL",05000US17119,madison-county-il
2014,2014,34800,686,"St. Louis city, MO",05000US29510,st.-louis-city-mo
2014,2014,54959,355,"St. Louis, MO-IL",31000US41180,st.-louis-mo-il-metro-area
2014,2014,47764,234,Missouri,04000US29,missouri
2013,2013,53046,89,United States,01000US,united-states
2013,2013,54845,1009,"Jefferson County, MO",05000US29099,jefferson-county-mo
2013,2013,48857,1801,"Franklin County, MO",05000US29071,franklin-county-mo
2013,2013,50578,967,"St. Clair County, IL",05000US17163,st.-clair-county-il
2013,2013,68482,3740,"Monroe County, IL",05000US17133,monroe-county-il
2013,2013,53633,809,"Madison County, IL",05000US17119,madison-county-il
2013,2013,54463,313,"St. Louis, MO-IL",31000US41180,st.-louis-mo-il-metro-area
2013,2013,34582,755,"St. Louis city, MO",05000US29510,st.-louis-city-mo
2013,2013,58910,692,"St. Louis County, MO",05000US29189,st.-louis-county-mo
2013,2013,47380,216,Missouri,04000US29,missouri
2013,2013,71077,1044,"St. Charles County, MO",05000US29183,st.-charles-county-mo
