Zip Code,ZIP Code Name,Population,Type
63005,Chesterfield,17753,Non-Unique
63011,Ballwin,36347,Non-Unique
63017,Chesterfield,41470,Non-Unique
63021,Ballwin,56261,Non-Unique
63025,Eureka,13854,Non-Unique
63026,Fenton,44124,Non-Unique
63031,Florissant,48212,Non-Unique
63033,Florissant,43000,Non-Unique
63034,Florissant,17761,Non-Unique
63038,Glencoe,6914,Non-Unique
63040,Grover,8512,Non-Unique
63042,Hazelwood,19602,Non-Unique
63043,Maryland Heights,22367,Non-Unique
63044,Bridgeton,10568,Non-Unique
63045,Earth City,3,Non-Unique
63049,High Ridge,15896,Non-Unique
63069,Pacific,15647,Non-Unique
63074,Saint Ann,15164,Non-Unique
63088,Valley Park,8269,Non-Unique
63105,Saint Louis,17667,Non-Unique
63114,Saint Louis,36201,Non-Unique
63117,Saint Louis,9163,Non-Unique
63119,Saint Louis,33969,Non-Unique
63120,Saint Louis,10296,Non-Unique
63121,Saint Louis,26602,Non-Unique
63122,Saint Louis,38495,Non-Unique
63123,Saint Louis,49308,Non-Unique
63124,Saint Louis,10417,Non-Unique
63125,Saint Louis,32201,Non-Unique
63126,Saint Louis,15112,Non-Unique
63127,Saint Louis,4939,Non-Unique
63128,Saint Louis,29356,Non-Unique
63129,Saint Louis,52718,Non-Unique
63130,Saint Louis,30084,Non-Unique
63131,Saint Louis,16769,Non-Unique
63132,Saint Louis,13988,Non-Unique
63133,Saint Louis,8161,Non-Unique
63134,Saint Louis,13638,Non-Unique
63135,Saint Louis,21334,Non-Unique
63136,Saint Louis,48560,Non-Unique
63137,Saint Louis,20654,Non-Unique
63138,Saint Louis,20175,Non-Unique
63140,Saint Louis,294,Non-Unique
63141,Saint Louis,20593,Non-Unique
63143,Saint Louis,9678,Non-Unique
63144,Saint Louis,8825,Non-Unique
63145,Saint Louis,-99,Non-Unique
63146,Saint Louis,29262,Non-Unique
63303,Saint Charles,45834,Non-Unique
63341,Defiance,3530,Non-Unique
63006,Chesterfield,0,PO Box
63022,Ballwin,0,PO Box
63024,Ballwin,0,PO Box
63032,Florissant,0,PO Box
63151,Saint Louis,0,PO Box
63099,Fenton,0,Unique
