geoid,name,B06009001,"B06009001, Error",B06009002,"B06009002, Error",B06009003,"B06009003, Error",B06009004,"B06009004, Error",B06009005,"B06009005, Error",B06009006,"B06009006, Error",B06009007,"B06009007, Error",B06009008,"B06009008, Error",B06009009,"B06009009, Error",B06009010,"B06009010, Error",B06009011,"B06009011, Error",B06009012,"B06009012, Error",B06009013,"B06009013, Error",B06009014,"B06009014, Error",B06009015,"B06009015, Error",B06009016,"B06009016, Error",B06009017,"B06009017, Error",B06009018,"B06009018, Error",B06009019,"B06009019, Error",B06009020,"B06009020, Error",B06009021,"B06009021, Error",B06009022,"B06009022, Error",B06009023,"B06009023, Error",B06009024,"B06009024, Error",B06009025,"B06009025, Error",B06009026,"B06009026, Error",B06009027,"B06009027, Error",B06009028,"B06009028, Error",B06009029,"B06009029, Error",B06009030,"B06009030, Error"
05000US29189,"St. Louis County, MO",689502,113,46247,1520,146184,2770,199438,3215,171146,2814,126487,2104,422096,3494,27580,1286,103520,2297,135975,2646,96579,2139,58442,1535,202125,3002,10543,752,31647,1237,51655,1747,59337,1643,48943,1436,5128,551,279,116,758,195,1511,312,1651,282,929,173,60153,1926,7845,901,10259,880,10297,829,13579,775,18173,828
86000US63005,63005,11879,461,97,57,824,133,1965,246,4473,359,4520,365,4792,422,25,19,495,107,969,174,1890,220,1413,227,5208,372,37,30,215,55,806,157,2233,272,1917,251,68,35,0,17,0,17,9,14,13,14,46,31,1811,264,35,48,114,52,181,74,337,114,1144,211
86000US63011,63011,26481,657,1231,434,3792,484,6548,579,8967,606,5943,549,13308,695,346,123,2283,330,3611,434,4571,406,2497,319,10176,625,360,204,1100,250,2317,369,3731,359,2668,354,121,66,0,23,21,33,34,41,35,26,31,34,2876,459,525,336,388,157,586,227,630,171,747,205
86000US63017,63017,30786,672,637,173,3873,391,6243,590,10379,577,9654,524,14541,871,388,121,2338,323,3179,386,5001,445,3635,453,11318,618,113,58,1090,259,2527,435,3970,387,3618,347,262,98,0,23,59,36,25,28,68,45,110,78,4665,508,136,75,386,169,512,216,1340,271,2291,262
86000US63021,63021,39205,706,1287,300,5947,483,10013,660,13286,594,8672,583,20827,917,607,158,3730,407,6059,495,6535,505,3896,381,13802,693,158,87,1637,247,3327,386,5448,419,3232,390,328,148,0,26,12,18,176,114,79,61,61,36,4248,463,522,222,568,219,451,153,1224,219,1483,278
86000US63025,63025,9953,507,395,144,1997,356,2932,397,2847,369,1782,280,5977,491,224,100,1525,323,1831,372,1429,268,968,208,3337,473,154,89,438,154,910,239,1216,238,619,167,97,68,0,17,0,17,36,41,61,49,0,17,542,185,17,29,34,39,155,96,141,95,195,98
86000US63026,63026,29861,636,2069,340,7089,515,10075,542,7300,553,3328,392,20889,779,1414,276,5512,469,7301,427,4680,440,1982,270,7430,610,385,121,1170,236,2536,371,2144,322,1195,248,120,59,0,23,20,23,53,38,31,30,16,26,1422,294,270,156,387,161,185,93,445,146,135,76
86000US63031,63031,31340,1029,2750,461,9095,724,11229,751,5416,578,2850,400,22023,982,1649,298,6941,630,8306,745,3402,497,1725,304,7114,542,627,161,1713,282,2386,285,1583,278,805,192,284,117,9,15,84,58,128,86,48,52,15,18,1919,480,465,275,357,169,409,229,383,149,305,128
86000US63033,63033,28683,1119,2279,475,7042,695,10835,798,5702,727,2825,437,18985,1065,1210,291,4775,600,7636,692,3738,579,1626,315,8309,859,805,285,1839,344,2972,575,1649,328,1044,284,320,169,0,23,34,36,109,95,155,130,22,34,1069,405,264,183,394,231,118,78,160,123,133,81
86000US63034,63034,13294,686,755,202,2781,479,4824,540,2658,354,2276,388,8518,606,521,194,1904,355,3079,449,1556,246,1458,323,4175,486,194,77,759,252,1506,285,973,238,743,186,127,72,0,17,8,12,72,55,29,41,18,21,474,174,40,44,110,81,167,96,100,66,57,44
86000US63038,63038,4838,350,80,51,757,213,1191,200,1904,241,906,160,2822,308,27,24,557,195,791,164,1036,172,411,91,1627,178,38,37,124,54,329,118,717,123,419,96,51,50,0,15,0,15,12,20,9,14,30,34,338,185,15,24,76,82,59,39,142,107,46,47
86000US63040,63040,5346,268,53,45,360,109,1364,173,2208,214,1361,198,2727,249,49,44,213,74,774,146,1091,173,600,136,2101,228,4,8,117,64,510,100,905,149,565,129,30,26,0,15,0,15,14,17,16,18,0,15,488,134,0,15,30,26,66,38,196,85,196,71
86000US63042,63042,13279,627,1112,300,3696,446,5125,598,2115,373,1231,261,9176,646,732,236,2633,381,3783,531,1277,272,751,233,2953,375,196,108,900,257,968,276,563,193,326,146,182,144,21,34,22,33,39,45,100,98,0,17,968,282,163,122,141,72,335,156,175,113,154,120
86000US63043,63043,16400,487,1104,259,3346,380,4853,418,4106,359,2991,437,8907,624,654,191,2435,362,3154,404,1757,234,907,201,4059,419,179,68,669,164,1297,249,1181,228,733,177,83,51,0,20,0,20,6,7,62,58,15,25,3351,462,271,170,242,121,396,145,1106,252,1336,335
86000US63044,63044,7516,351,964,249,2193,279,2246,300,1414,230,699,147,5142,366,572,189,1675,255,1553,234,898,167,444,116,1765,247,134,68,389,98,560,143,462,125,220,84,30,38,20,31,10,21,0,17,0,17,0,17,579,169,238,144,119,87,133,92,54,52,35,30
86000US63045,63045,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US63049,63049,11928,601,1114,285,3637,430,4484,417,1966,269,727,170,8480,558,827,250,2757,363,3229,391,1244,229,423,123,2938,369,263,125,710,156,1102,232,655,171,208,89,135,81,0,17,35,35,48,39,0,17,52,60,375,146,24,30,135,75,105,60,67,67,44,51
86000US63069,63069,10637,542,1137,284,3117,402,3546,404,1903,268,934,169,7659,539,757,233,2324,398,2619,370,1335,243,624,157,2774,393,354,144,756,163,870,260,490,154,304,87,72,58,19,28,28,31,16,25,9,14,0,17,132,93,7,10,9,15,41,37,69,80,6,10
86000US63074,63074,9669,586,1174,332,3052,442,3632,468,1356,270,455,161,6642,504,697,216,2320,394,2611,396,794,240,220,106,1927,360,125,72,515,145,751,223,383,143,153,82,60,50,9,15,0,17,14,23,16,25,21,32,1040,397,343,226,217,114,256,134,163,111,61,54
86000US63088,63088,6137,362,581,180,1212,257,1756,231,1573,317,1015,195,3576,397,340,125,783,223,1078,210,919,258,456,134,1964,269,93,72,398,135,619,147,509,144,345,112,53,72,44,70,0,15,9,15,0,15,0,15,544,195,104,104,31,32,50,38,145,84,214,117
86000US63105,63105,11130,402,316,83,812,164,1267,233,3727,347,5008,341,4820,432,261,75,483,132,670,196,1719,241,1687,229,4636,358,31,25,256,107,455,117,1693,300,2201,277,68,40,0,17,9,13,0,17,22,25,37,28,1606,294,24,25,64,37,142,101,293,119,1083,246
86000US63114,63114,24113,739,3363,407,8684,622,7882,704,2866,306,1318,268,15175,716,2159,320,5849,516,5151,538,1467,278,549,148,5515,473,601,180,1692,260,1872,289,825,185,525,160,228,133,2,5,121,91,82,71,21,21,2,3,3195,618,601,190,1022,344,777,264,553,256,242,140
86000US63117,63117,7004,173,124,55,579,131,1422,216,2447,203,2432,270,3749,282,90,50,366,118,962,161,1249,167,1082,186,2483,251,34,28,186,78,345,124,1034,201,884,167,28,37,0,15,0,15,5,8,23,36,0,15,744,183,0,15,27,22,110,60,141,60,466,164
86000US63119,63119,23564,577,812,216,2645,406,5342,468,7760,597,7005,513,13747,597,510,157,1761,294,3573,391,4474,440,3429,357,8763,550,252,118,766,164,1520,229,3062,337,3163,377,159,70,0,23,5,8,53,56,47,38,54,39,895,285,50,46,113,148,196,107,177,94,359,147
86000US63120,63120,5390,510,1290,296,2246,332,1528,294,209,88,117,69,3843,468,847,246,1736,346,1054,269,151,77,55,53,1466,251,436,139,496,140,428,112,44,31,62,47,0,15,0,15,0,15,0,15,0,15,0,15,81,56,7,11,14,15,46,44,14,17,0,15
86000US63121,63121,16971,730,2371,378,5504,542,5595,464,1915,256,1586,240,11365,679,1313,245,3952,447,3846,368,1232,207,1022,214,5145,490,954,268,1491,234,1621,318,581,128,498,97,53,36,0,20,0,20,19,18,31,29,3,4,408,163,104,69,61,41,109,74,71,68,63,37
86000US63122,63122,27586,487,696,131,2804,340,5777,410,9806,413,8503,478,16384,613,424,113,1850,259,4132,333,5500,401,4478,356,9703,493,137,54,781,205,1433,208,3768,344,3584,322,288,89,0,23,18,27,66,43,101,66,103,54,1211,217,135,60,155,79,146,63,437,147,338,99
86000US63123,63123,37141,705,3454,471,9552,563,11927,600,8095,504,4113,408,25222,856,1947,357,6853,511,8540,555,5294,469,2588,292,7215,596,439,144,1384,268,2313,353,1955,271,1124,195,382,141,34,34,82,57,134,77,109,70,23,27,4322,593,1034,283,1233,279,940,300,737,197,378,151
86000US63124,63124,7919,404,111,83,482,301,1259,303,2734,321,3333,396,4144,435,8,14,370,291,948,261,1549,293,1269,239,3103,358,49,54,57,42,220,82,1111,183,1666,331,79,54,0,17,33,42,0,17,28,25,18,20,593,174,54,61,22,24,91,116,46,32,380,150
86000US63125,63125,23833,832,2947,363,7817,626,7553,688,3761,486,1755,302,15905,887,1904,314,5459,590,5049,568,2483,349,1010,244,4391,512,461,212,1040,250,1537,296,784,206,569,170,82,75,42,67,0,23,35,37,2,4,3,4,3455,595,540,180,1318,372,932,299,492,184,173,108
86000US63126,63126,10782,405,445,194,1993,254,3179,360,3053,285,2112,243,7005,392,174,85,1410,187,2243,316,2016,249,1162,201,2831,277,65,47,307,95,715,176,924,174,820,147,52,40,0,17,9,14,9,13,14,16,20,30,894,276,206,179,267,136,212,104,99,54,110,49
86000US63127,63127,3601,236,116,62,815,143,853,153,1068,156,749,134,2602,289,85,54,637,139,630,134,748,144,502,125,806,144,8,11,146,71,197,74,273,82,182,69,36,30,0,11,0,11,0,11,13,21,23,19,157,85,23,35,32,39,26,27,34,29,42,32
86000US63128,63128,22190,606,1080,252,5358,589,6485,554,5993,505,3274,340,16365,698,686,216,4153,532,5005,517,4268,457,2253,306,4729,462,183,97,956,208,1249,257,1492,275,849,170,25,32,0,20,0,20,25,32,0,20,0,20,1071,273,211,125,249,123,206,90,233,140,172,89
86000US63129,63129,38438,964,1726,261,9599,708,12418,818,9425,646,5270,495,27926,945,1065,197,7345,642,9324,672,6880,566,3312,431,7472,511,191,76,1273,248,2356,309,2092,302,1560,231,206,98,17,27,0,26,79,52,63,75,47,42,2834,572,453,192,981,297,659,212,390,187,351,166
86000US63130,63130,19396,787,1078,279,2724,543,3874,506,4925,576,6795,679,9176,683,596,211,1900,439,2555,411,2258,332,1867,331,8424,671,473,164,588,174,1237,305,2200,404,3926,438,171,108,0,20,0,20,33,44,75,73,63,51,1625,381,9,25,236,177,49,52,392,166,939,296
86000US63131,63131,12433,476,185,74,849,162,1757,260,5262,362,4380,358,6531,456,88,50,543,149,1084,198,2876,337,1940,240,4451,346,52,38,240,76,563,153,1945,256,1651,239,178,89,0,17,0,17,11,14,109,81,58,37,1273,246,45,35,66,47,99,59,332,140,731,151
86000US63132,63132,8613,557,412,167,1298,304,2516,351,2164,311,2223,277,4408,473,204,114,722,244,1419,271,1181,221,882,197,2729,421,141,70,349,172,795,266,643,176,801,193,100,67,0,17,29,49,0,17,19,19,52,44,1376,270,67,52,198,139,302,138,321,146,488,143
86000US63133,63133,4607,308,872,138,1685,212,1625,180,256,86,169,89,3478,314,608,126,1267,211,1301,170,171,75,131,85,1102,156,264,69,418,101,308,77,85,49,27,18,6,8,0,15,0,15,6,8,0,15,0,15,21,18,0,15,0,15,10,12,0,15,11,15
86000US63134,63134,8708,426,1213,257,2819,407,3511,434,768,237,397,148,6103,478,545,185,2133,365,2679,393,469,180,277,122,2129,380,470,171,584,217,756,221,199,111,120,98,11,16,0,17,9,16,2,3,0,17,0,17,465,179,198,93,93,80,74,43,100,76,0,17
86000US63135,63135,13653,616,1411,296,4338,475,4949,454,1842,332,1113,193,9701,668,1010,261,3121,401,3629,415,1303,286,638,157,3362,484,257,122,1080,269,1109,218,483,140,433,107,134,98,16,27,45,58,46,71,27,28,0,20,456,242,128,102,92,83,165,124,29,32,42,54
86000US63136,63136,28769,1121,4712,523,10308,816,10604,859,2075,325,1070,219,20372,1046,3060,469,7569,711,7832,809,1277,235,634,149,7811,677,1462,278,2586,419,2599,326,762,220,402,127,71,69,0,23,13,16,39,60,19,32,0,23,515,356,190,217,140,131,134,139,17,26,34,51
86000US63137,63137,12411,629,1581,273,4301,506,4962,467,1103,267,464,114,9217,595,1182,247,3086,383,3868,457,746,233,335,98,2932,413,379,134,1143,256,1027,227,276,109,107,70,92,104,0,20,0,20,47,76,45,72,0,20,170,89,20,22,72,52,20,31,36,41,22,24
86000US63138,63138,10902,557,1026,319,3148,334,4811,491,1270,274,647,190,7687,578,765,264,2439,340,3337,449,872,248,274,123,2770,360,221,106,598,157,1243,270,359,127,349,124,124,99,40,61,65,80,9,17,10,16,0,17,321,204,0,17,46,39,222,191,29,24,24,39
86000US63140,63140,146,56,33,21,68,33,37,21,6,10,2,4,107,47,19,14,50,29,30,20,6,10,2,4,39,25,14,16,18,12,7,7,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US63141,63141,14856,506,425,161,1248,228,2546,356,4876,400,5761,473,6758,463,160,80,740,178,1620,298,2304,276,1934,256,5493,475,59,46,393,143,828,239,1929,336,2284,278,84,55,11,16,18,29,7,15,24,26,24,31,2521,329,195,151,97,54,91,51,619,134,1519,321
86000US63143,63143,6959,337,478,139,1462,250,2286,298,1690,246,1043,206,4483,347,377,130,1046,224,1520,260,1032,223,508,150,2151,269,90,47,382,120,615,156,577,147,487,156,133,88,0,15,13,21,80,66,40,42,0,15,192,95,11,20,21,25,71,68,41,32,48,31
86000US63144,63144,6344,330,103,88,368,129,1249,251,2478,343,2146,312,3453,340,21,28,289,126,797,216,1360,223,986,193,2226,312,21,25,52,37,336,126,967,247,850,225,104,64,0,15,0,15,46,47,40,41,18,20,561,210,61,74,27,23,70,59,111,66,292,131
86000US63146,63146,22561,734,643,170,3059,413,5943,430,7294,539,5622,459,10664,667,224,100,2006,342,3337,314,3171,397,1926,258,7657,529,136,82,734,176,1985,291,2709,335,2093,287,158,70,14,22,16,25,29,26,75,54,24,27,4082,472,269,116,303,112,592,182,1339,300,1579,290
86000US63147,63147,6529,504,1321,258,2288,364,2066,340,533,140,321,117,4897,435,899,214,1711,302,1650,310,460,127,177,81,1581,254,422,126,564,162,405,134,73,56,117,66,9,14,0,15,0,15,0,15,0,15,9,14,42,29,0,15,13,17,11,18,0,15,18,20
86000US63304,63304,28568,729,1012,203,5803,514,8808,566,8060,572,4885,526,16800,707,587,131,4014,380,5380,414,4447,414,2372,310,10080,526,258,106,1623,282,3024,389,3122,346,2053,301,169,84,9,14,8,12,91,60,28,29,33,36,1519,289,158,103,158,108,313,103,463,166,427,183
